E0106,103,0
10408,18,0
E0417,34,0
11138,58,34
ET186,3,0
ET093,32,0
20144,357,135
13301,17,14
13409,47,40
76063,14,0
66043,19,0
20464,80,0
ET211,89,0
10553,206,138
88067,51,48
ET024,18,0
13252,4,0
ET190,23,0
11329,191,122
14796,76,23
88051,39,19
E0295,19,0
10095,110,0
20675,263,124
21289,51,17
ET094,22,0
ET208,31,0
ET015,27,0
20506,40,6
20140,214,77
20965,41,12
21275,16,0
11082,46,37
21335,50,6
E0365,30,0
90052,41,23
68019,26,0
E0084,19,0
E0120,36,0
12536,28,0
ET389,31,0
ET262,87,0
E0244,31,0
ET030,30,0
10169,67,59
20932,30,0
10548,28,14
E0397,32,0
11478,275,178
20170,39,0
E0274,36,0
20467,38,0
13787,13,13
E0261,77,1
13385,16,16
10672,47,45
21055,11,0
88100,28,3
21540,16,0
11364,38,9
21197,9,0
20526,58,0
ET230,51,0
20687,33,7
ET198,55,0
86227,21,0
21612,4,0
10664,6,0
11580,23,21
20906,28,0
20201,68,0
10391,60,22
ET060,47,0
20094,81,13
13434,6,0
60104,11,8
13443,187,69
88106,32,6
74027,18,10
64102,41,0
20318,55,0
E0173,73,0
20361,29,0
13453,11,0
E0412,68,0
64016,22,0
E0192,116,0
10167,106,56
88044,129,72
ET090,32,0
20370,220,10
88168,25,0
12837,222,82
68077,17,16
11438,138,68
13595,50,38
E0324,64,0
14871,49,30
88094,68,0
21066,272,82
ET154,55,0
21460,44,0
20214,1,0
11377,25,0
21040,17,0
11792,602,421
20868,29,0
ET385,99,0
E0003,44,0
ET080,26,0
11395,525,487
E0396,38,0
21233,22,0
10484,48,0
ET006,23,0
68150,12,0
20871,42,1
20389,75,0
10005,26,0
11233,52,50
11674,179,46
12049,336,194
E0392,8,0
E0363,36,0
ET390,17,0
13111,51,18
12734,48,0
10235,104,37
ET132,36,0
20717,73,5
90017,26,0
20347,64,17
12585,255,117
88170,58,15
E0333,26,0
20734,26,9
88039,42,0
ET216,44,0
88085,40,14
11817,41,0
11785,149,95
ET155,40,1
ET056,18,0
21126,32,0
20277,25,0
10475,10,0
E0161,186,0
11909,47,17
12890,220,78
13206,97,33
E0150,159,0
20662,75,39
20849,11,8
21431,21,0
ET177,84,0
20543,43,0
20065,66,0
13580,30,0
14819,53,43
ET236,52,0
21202,17,2
20570,72,0
20653,17,1
21406,22,1
14775,21,11
10468,41,8
88045,59,32
E0416,16,0
70056,58,0
10608,50,47
12408,51,0
10139,21,0
11297,137,83
13555,148,0
20842,21,0
12259,15,9
11959,19,18
11010,54,50
ET180,15,0
ET071,40,0
ET021,53,0
E0408,164,0
20907,29,0
10819,110,45
E0138,140,0
20577,22,0
ET011,50,0
E0171,46,0
ET117,120,0
11694,269,238
68133,27,0
20773,198,156
E0102,108,0
ET002,55,0
90049,1082,0
E0201,66,0
12773,16,0
E0189,63,0
14808,318,272
14783,103,21
86410,45,0
20693,20,0
20447,10,3
ET156,24,0
E0302,44,0
88087,34,0
10116,37,30
E0362,14,0
10308,43,0
60084,16,0
21324,55,0
11522,363,234
E0115,42,0
10618,293,170
20082,23,0
10250,33,1
10793,50,16
10491,110,31
E0310,13,0
11703,80,0
20756,26,0
20465,53,0
11827,77,18
13513,23,20
11380,122,61
21571,13,0
14774,44,26
20445,95,25
13087,40,0
E0007,121,0
82022,10,0
12013,21,0
ET149,39,0
66118,20,0
ET040,24,0
ET047,17,0
11869,24,0
12771,25,0
10616,170,0
10295,15,0
ET059,25,0
20984,30,0
ET111,24,0
10681,32,0
60063,30,0
ET036,16,0
20688,64,14
11006,70,62
12399,487,315
13309,15,0
20516,117,0
20502,145,92
ET240,26,0
12012,63,0
E0108,204,0
E0053,43,0
10398,22,0
80086,14,0
20105,40,19
20045,127,4
10938,25,18
10696,45,0
11547,81,19
ET219,89,1
88176,37,0
12381,93,77
ET129,22,0
21578,3,0
ET301,44,0
10948,56,24
20157,118,0
20363,39,11
ET229,107,0
21492,15,0
E0393,176,0
20469,452,208
11378,19,0
21070,20,12
E0366,38,0
ET158,31,0
20566,185,173
20959,25,11
21297,9,0
10103,40,9
20150,12,0
70015,13,0
14817,63,0
12982,85,53
10013,108,60
E0218,104,0
E0133,56,0
ET022,16,0
10990,84,15
20073,12,0
10165,21,0
20463,22,0
ET142,50,0
E0134,31,0
E0086,28,0
ET027,45,0
10683,32,0
E0026,14,0
ET121,29,0
10438,56,50
11450,183,90
12079,43,39
86065,6,0
20471,378,0
20146,16,1
20981,49,7
E0335,31,0
20123,27,0
E0323,21,0
13283,138,76
86351,28,0
11441,53,49
11349,53,11
12574,60,27
21088,44,0
14805,62,38
20606,76,65
ET143,23,0
20541,15,2
21138,19,0
11117,473,296
E0079,76,0
12980,42,28
E0118,30,0
20432,42,0
21060,62,0
ET045,30,0
11089,78,16
ET215,18,0
20503,185,28
20490,84,17
ET077,71,0
20227,19,0
21476,35,0
ET157,44,0
20958,256,110
88184,175,119
ET171,26,0
78038,5,0
20247,120,38
82128,24,0
20628,98,0
88031,333,55
20674,85,38
ET212,54,0
86433,33,0
10521,18,0
ET164,23,0
ET135,35,0
12247,14,0
ET153,24,0
20948,18,0
21224,47,0
70026,96,0
ET084,28,0
90026,4,0
E0191,61,0
14833,101,54
20250,109,78
12055,15,14
12329,88,58
E0198,14,0
20014,53,8
ET113,148,0
12080,31,18
20966,71,18
10717,160,141
11921,158,76
74085,31,27
13607,46,0
88043,173,125
13411,24,0
12451,11,0
13376,24,20
10073,248,73
20001,46,12
12979,601,442
10596,54,49
10757,68,45
88167,22,0
ET168,89,0
20266,125,38
20038,78,0
20474,12,0
E0234,82,0
21298,9,0
10062,41,0
20200,26,0
E0409,24,0
ET160,27,0
ET252,18,0
E0288,110,0
ET382,85,1
20481,3,0
ET192,12,0
ET095,15,0
88157,78,0
20295,11,0
20513,126,0
10483,15,0
11763,81,38
E0255,28,0
21546,32,0
12877,29,28
ET051,135,0
20099,2,0
66121,19,0
13412,113,36
11257,12,0
12623,64,46
20912,45,0
11839,163,62
20083,21,0
ET031,30,0
E0404,91,0
11062,66,0
E0056,35,0
20671,61,28
88104,30,0
10806,370,88
ET226,36,0
E0414,136,0
10622,44,0
ET122,58,0
13144,60,0
76032,9,0
20524,31,0
11523,100,8
ET107,56,0
E0386,39,0
13475,90,60
10704,65,0
11708,214,118
E0151,108,0
21308,19,0
E0096,57,0
11155,163,110
11244,31,0
21504,40,1
11853,95,32
11471,125,92
E0401,18,0
E0121,113,0
E0334,25,0
ET061,57,0
20226,132,35
20925,31,0
11877,43,16
ET114,166,0
E0041,33,0
11506,191,0
21410,170,62
10089,113,63
12305,33,0
20507,34,0
10174,34,21
11495,74,0
20814,13,0
11433,96,18
20066,33,0
12083,355,241
11180,131,0
20942,6,0
ET191,17,0
11003,323,70
E0399,21,0
E0196,75,0
72067,19,0
20848,37,9
21440,78,0
14873,56,19
ET032,29,0
20841,155,48
21593,33,0
E0157,236,2
ET253,35,0
10230,31,0
11061,24,19
10658,145,55
